Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
CFLU4;1.000,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,88%;10,72%;1,10;17,68%;32,15%;0,00;60.351.000,00;0,06;8,14%
MNSA3;0,42;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
MNSA4;0,47;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;-208,15%;-362,66%;3,63;-13,50%;145,70%;0,00;-9.105.000,00;-6,52;-41,11%
PORP4;2,40;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-2,08%;0,00;22.399.000,00;0,00;13,66%
PMET3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;4,10%;0,00;-290.863.000,00;0,00;37,74%
POPR4;10,17;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;8,66%;5,65%;1,08;15,25%;19,93%;0,00;545.803.000,00;0,82;30,93%
CLAN3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-1,05%;0,00;1.012.240.000,00;0,00;-63,96%
IVTT3;0,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;-0,40%;0,00;1.083.050.000,00;0,00;20,67%
CSTB3;150,00;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
CSTB4;147,69;0,00;0,00;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;40,85%;28,98%;2,60;22,40%;20,11%;0,00;8.420.670.000,00;0,14;31,91%
